Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,IATA_Source,Latitude_Source,Longitude_Source,IATA_Destination,Latitude_Destination,Longitude_Destination,Airport_Name,IATA_x,Latitude,Longitude,IATA_y,ISO_Country_Source,Scheduled_Service_Source,IATA,ISO_Country_Destination,Scheduled_Service_Destination
NZ,345,WHK,2041,AKL,2006,Y,0,BEH,WHK,-37.92060089111328,176.91400146484375,AKL,-37.01199,174.786331,Whakatane Airport,WHK,-37.92060089111328,176.91400146484375,WHK,NZ,yes,AKL,NZ,yes
NZ,345,WLG,2042,AKL,2006,,0,733 320,WLG,-41.3272018433,174.804992676,AKL,-37.01199,174.786331,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,AKL,NZ,yes
NZ,345,WLG,2042,BHE,2037,Y,0,DH3 BEH,WLG,-41.3272018433,174.804992676,BHE,-41.5182991027832,173.8699951171875,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,BHE,NZ,yes
NZ,345,WLG,2042,BNE,3320,Y,0,73H,WLG,-41.3272018433,174.804992676,BNE,-27.384199142456055,153.11700439453125,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,BNE,AU,yes
NZ,345,WLG,2042,CHC,2009,,0,733 320,WLG,-41.3272018433,174.804992676,CHC,-43.48939895629883,172.53199768066406,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,CHC,NZ,yes
NZ,345,WLG,2042,DUD,2011,,0,320 733,WLG,-41.3272018433,174.804992676,DUD,-45.928101,170.197998,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,DUD,NZ,yes
NZ,345,WLG,2042,GIS,2012,Y,0,BEH,WLG,-41.3272018433,174.804992676,GIS,-38.6633,177.977997,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,GIS,NZ,yes
NZ,345,WLG,2042,HLZ,2015,Y,0,AT7 DH3,WLG,-41.3272018433,174.804992676,HLZ,-37.8666992188,175.332000732,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,HLZ,NZ,yes
NZ,345,WLG,2042,IVC,2025,Y,0,DH3,WLG,-41.3272018433,174.804992676,IVC,-46.41239929199219,168.31300354003906,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,IVC,NZ,yes
NZ,345,WLG,2042,MEL,3339,,0,320,WLG,-41.3272018433,174.804992676,MEL,-37.673302,144.843002,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,MEL,AU,yes
NZ,345,WLG,2042,NPE,4095,Y,0,DH3 AT7,WLG,-41.3272018433,174.804992676,NPE,-39.465801,176.869995,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,NPE,NZ,yes
NZ,345,WLG,2042,NPL,2023,Y,0,DH3,WLG,-41.3272018433,174.804992676,NPL,-39.00859832763672,174.1790008544922,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,NPL,NZ,yes
NZ,345,WLG,2042,NSN,2024,Y,0,DH3 AT7 BEH,WLG,-41.3272018433,174.804992676,NSN,-41.298302,173.220993,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,NSN,NZ,yes
NZ,345,WLG,2042,PMR,2028,Y,0,BEH,WLG,-41.3272018433,174.804992676,PMR,-40.320599,175.617004,Wellington International Airport,WLG,-41.3272018433,174.804992676,WLG,NZ,yes,PMR,NZ,yes
